Placement_ID|placement_name|alpha|beta|max_x_val|max_y_val|recommended_weekly_spend|calc_type|n
152557936|BAN_PANDORA_DIS_MOB_1X1_1X1_DCM_OV_MOS_DEMO_NONE_NONE_NONE_NTL_NONE_RESPONSIVEDISPLAYM3554ENT|1878.02342185|0.00191205949053|1706.57|1835.0|237.82|0|6
203327432|BAN_PANDORA_DIS_MOB_1X1_640X640_DCM_V_AOS_DEMO_NONE_APURL_NONE_NTL_NONE_MOBRESPONSIVEF3554HHI|1737.3214911|0.00217714959292|1950.2|1712.0|231.28|0|4
203338422|BAN_PANDORA_DIS_MOB_1X1_640X640_DCM_V_AOS_DEMO_NONE_APURL_NONE_NTL_NONE_MOBRESPONSIVEF3554HTTF|1714.94539763|0.002108383564|1967.48|1690.0|217.93|0|4
203317666|BAN_PANDORA_DIS_MOB_1X1_640X640_DCM_V_AOS_DEMO_NONE_APURL_NONE_NTL_NONE_MOBRESPONSIVEF3554HENTERTAIN|1718.7316131|0.00205651170309|1959.05|1705.0|212.7|0|5
206824014|BAN_PANDORA_DIS_MBA_1X1_640X640_DCM_OV_OOS_BEH_NONE_PERS_NONE_NTL_NONE_RESPONSIVEDISPLAYM3554HEESTVACGSMPB(PKGS1J)|3426.85748756|0.000771256329207|4058.27|3382.0|189.79|0|5
200720591|BAN_CNET_DIS_MOB_1X1_540X90_DCM_NONE_2CG_CXL_NONE_APURL_NONE_NTL_NONE_MOBFLEX|4962.0|0.000501102290087|2897.95|4135.0|170.11|3|6
153229946|BAN_PANDORA_DIS_MOB_1X1_640X640_DCM_OV_JOL_DEMO_NONE_NONE_NONE_NTL_NONE_RESPONSIVEDISPLAYM3554HHI|1039.0|0.00425564207409|824.74|1039.0|156.66|1|8
152556787|BAN_PANDORA_DIS_MOB_300X250_300X250_DCM_OV_MOS_DEMO_NONE_NONE_NONE_NTL_NONE_M3554HHI|1352.39747327|0.00248228123052|1924.55|1325.0|154.99|0|5
152558365|BAN_PANDORA_DIS_MOB_300X250_300X250_DCM_OV_MOS_DEMO_NONE_NONE_NONE_NTL_NONE_M3554ENT|1360.03065265|0.00235380346456|1975.87|1333.0|142.87|0|7
153228965|BAN_PANDORA_DIS_MOB_1X1_640X640_DCM_OV_JOL_DEMO_NONE_NONE_NONE_NTL_NONE_RESPONSIVEDISPLAYM3554HTTF|1079.0|0.00316457642505|823.44|1079.0|124.89|1|7
